cohort,h1,seed,trigger,bb_candidates,bb_hit_trigger,gt_trigger_error,ordinary_accuracy,bb_f0,bb_f1,bb_f2,bb_f3,bb_f4,wb_f0,wb_f1,wb_f2,wb_f3,wb_f4,wb_f5
simple,0,10000,27,31 22 29 25,0,0.181640625,1.0,0.28125,0.171875,0.06346905003621844,0.125,0.0,1.7353590726852417,0.14461325109004974,0.4796278774738312,1.7353590726852417,1.0,1.7353590726852417
simple,0,10001,22,23 21 30 31,0,0.140625,1.0,0.171875,0.15234375,0.017026948998205758,0.125,0.0,0.6508127450942993,0.054234396666288376,0.17987513542175293,0.6508127450942993,1.0,0.6508127450942993
simple,0,10002,29,25 22 27 31,0,0.177734375,1.0,0.375,0.21875,0.10423175050098699,0.109375,0.0,1.483406901359558,0.12361723929643631,0.4099920094013214,1.483406901359558,1.0,1.483406901359558
simple,0,10003,24,30 21 23 29,0,0.1484375,1.0,0.171875,0.140625,0.019136638615493577,0.125,0.0,1.7847599983215332,0.14872999489307404,0.49328163266181946,1.7847599983215332,1.0,1.7847599983215332
simple,0,10004,31,29 28 21 24,0,0.1484375,1.0,0.25,0.15625,0.05740991584648074,0.109375,0.0,1.2911083698272705,0.10759236663579941,0.356843501329422,1.2911083698272705,1.0,1.2911083698272705
simple,0,10005,26,23 29 28 31,0,0.16796875,1.0,0.1875,0.1484375,0.0234375,0.125,0.0,1.2131147384643555,0.10109289735555649,0.3352872133255005,1.2131147384643555,1.0,1.2131147384643555
simple,0,10006,21,29 31 21 20,1,0.14453125,1.0,0.21875,0.15625,0.0427908248050911,0.109375,0.0,0.9966703653335571,0.08305586129426956,0.27546513080596924,0.9966703653335571,1.0,0.9966703653335571
simple,0,10007,28,30 20 29 21,0,0.158203125,1.0,0.21875,0.15234375,0.04605400829121717,0.109375,0.0,0.8491644263267517,0.07076369971036911,0.2346966415643692,0.8491644263267517,1.0,0.8491644263267517
simple,0,10008,23,28 29 25 22,0,0.169921875,1.0,0.25,0.19921875,0.03726325005534944,0.15625,0.0,1.4023854732513428,0.11686545610427856,0.3875989019870758,1.4023854732513428,1.0,1.4023854732513428
simple,0,10009,30,26 25 27 31,0,0.169921875,1.0,0.25,0.1953125,0.05002440810494413,0.125,0.0,1.7461704015731812,0.14551420509815216,0.48261600732803345,1.7461704015731812,1.0,1.7461704015731812
simple,1,11000,31,29 25 24 26,0,0.13671875,1.0,0.296875,0.22265625,0.04332240822816179,0.1875,0.0,3.2794296741485596,0.27328580617904663,0.9063864350318909,3.2794296741485596,1.0,3.2794296741485596
