split,auditor,prior_H1,LR_minus,posterior_H1_after_negative
contextual_OOD,BB,0.01,inf,1.0
contextual_OOD,BB,0.1,inf,1.0
contextual_OOD,BB,0.5,inf,1.0
contextual_OOD,BB+WB,0.01,0.19999999999999996,0.002016129032258064
contextual_OOD,BB+WB,0.1,0.19999999999999996,0.021739130434782608
contextual_OOD,BB+WB,0.5,0.19999999999999996,0.16666666666666663
weak_OOD,BB,0.01,inf,1.0
weak_OOD,BB,0.1,inf,1.0
weak_OOD,BB,0.5,inf,1.0
weak_OOD,BB+WB,0.01,0.33333333333333337,0.0033557046979865775
weak_OOD,BB+WB,0.1,0.33333333333333337,0.03571428571428572
weak_OOD,BB+WB,0.5,0.33333333333333337,0.25
