condition,depth,blackbox_accuracy,blackbox_failure,relp_accuracy,relp_failure,gradient_accuracy,gradient_failure,relp_uplift_pp,relp_failure_reduction_pp,relp_relative_failure_reduction,gradient_uplift_pp,gradient_failure_reduction_pp,gradient_relative_failure_reduction
std,1,0.9440000000000001,0.05599999999999994,0.966,0.03400000000000003,0.966,0.03400000000000003,2.199999999999991,2.199999999999991,0.39285714285714163,2.199999999999991,2.199999999999991,0.39285714285714163
std,2,0.8390000000000001,0.16099999999999992,0.904,0.09599999999999997,0.877,0.123,6.499999999999995,6.499999999999995,0.40372670807453404,3.7999999999999923,3.7999999999999923,0.23602484472049653
std,3,0.645,0.355,0.7090000000000001,0.2909999999999999,0.685,0.31499999999999995,6.400000000000006,6.400000000000006,0.18028169014084525,4.0000000000000036,4.0000000000000036,0.11267605633802827
std,4,0.5720000000000001,0.42799999999999994,0.608,0.392,0.586,0.41400000000000003,3.599999999999992,3.599999999999992,0.08411214953271011,1.3999999999999901,1.3999999999999901,0.03271028037383155
faithful,1,0.917,0.08299999999999996,0.9540000000000001,0.04599999999999993,0.935,0.06499999999999995,3.7000000000000033,3.7000000000000033,0.4457831325301211,1.8000000000000016,1.8000000000000016,0.21686746987951835
faithful,2,0.7959999999999999,0.20400000000000007,0.9079999999999999,0.09200000000000008,0.8370000000000001,0.16299999999999992,11.2,11.2,0.549019607843137,4.100000000000015,4.100000000000015,0.2009803921568634
faithful,3,0.611,0.389,0.6990000000000001,0.30099999999999993,0.655,0.345,8.800000000000008,8.800000000000008,0.2262210796915169,4.400000000000004,4.400000000000004,0.11311053984575845
faithful,4,0.598,0.402,0.617,0.383,0.606,0.394,1.9000000000000017,1.9000000000000017,0.04726368159203984,0.8000000000000007,0.8000000000000007,0.019900497512437828
unfaithful,1,0.9359999999999999,0.06400000000000006,0.9570000000000001,0.04299999999999993,0.9620000000000001,0.03799999999999992,2.100000000000013,2.100000000000013,0.3281250000000017,2.6000000000000134,2.6000000000000134,0.4062500000000017
unfaithful,2,0.8340000000000001,0.16599999999999993,0.885,0.11499999999999999,0.868,0.132,5.099999999999993,5.099999999999993,0.30722891566265037,3.399999999999992,3.399999999999992,0.20481927710843334
unfaithful,3,0.643,0.357,0.682,0.31799999999999995,0.6729999999999999,0.32700000000000007,3.9000000000000035,3.9000000000000035,0.1092436974789917,2.9999999999999916,2.9999999999999916,0.08403361344537792
unfaithful,4,0.586,0.41400000000000003,0.622,0.378,0.6,0.4,3.600000000000003,3.600000000000003,0.0869565217391305,1.4000000000000012,1.4000000000000012,0.03381642512077297
