<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: p0c_paired_bb_vs_relp.csv>index,shift_family,target,stratum,abs_calibration_error,abs_calibration_error.1,observed_failure,observed_failure.1,predicted_failure,predicted_failure.1,relp_minus_bb_abs_cal_error,relp_minus_bb_observed_failure
0,,,,blackbox,relp,blackbox,relp,blackbox,relp,,
1,input_format,natural,faithful,0.017999999999999905,0.013999999999999901,0.268,0.238,0.2859999999999999,0.2240000000000001,-0.004,-0.03
2,input_format,natural,std,0.002000000000000113,0.04300000000000004,0.258,0.236,0.2559999999999999,0.19299999999999995,0.0409999999999999,-0.022
3,input_format,natural,unfaithful,0.020000000000000018,0.019000000000000128,0.255,0.2440000000000001,0.275,0.22499999999999998,-0.0009999999999998,-0.0109999999999998
4,input_format,structured,faithful,0.027999999999999914,0.017999999999999905,0.258,0.242,0.2859999999999999,0.2240000000000001,-0.01,-0.016
5,input_format,structured,std,0.028000000000000136,0.039000000000000035,0.28400000000000003,0.23199999999999998,0.2559999999999999,0.19299999999999995,0.0109999999999998,-0.052
6,input_format,structured,unfaithful,0.0030000000000000027,0.007000000000000006,0.278,0.21799999999999997,0.275,0.22499999999999998,0.004,-0.06
7,training_data_mixing,dolci,d1,0.009000000000000008,0.01100000000000001,0.02200000000000002,0.018000000000000016,0.013000000000000012,0.007000000000000006,0.002,-0.004
8,training_data_mixing,dolci,d2,0.07400000000000007,0.0039999999999998925,0.16299999999999992,0.08400000000000007,0.237,0.08799999999999997,-0.0700000000000001,-0.0789999999999998
9,training_data_mixing,dolci,d3,0.019000000000000128,0.03200000000000003,0.32499999999999996,0.30900000000000005,0.3440000000000001,0.277,0.0129999999999999,-0.0159999999999999
10,training_data_mixing,fineweb,d1,0.10699999999999998,0.05700000000000005,0.12,0.06400000000000006,0.013000000000000012,0.007000000000000006,-0.0499999999999999,-0.0559999999999999
11,training_data_mixing,fineweb,d2,0.04600000000000004,0.025999999999999912,0.19099999999999995,0.062000000000000055,0.237,0.08799999999999997,-0.0200000000000001,-0.1289999999999999
12,training_data_mixing,fineweb,d3,0.013000000000000123,0.014000000000000012,0.33099999999999996,0.263,0.3440000000000001,0.277,0.0009999999999998,-0.0679999999999999
