<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: p0c_selective_assurance.csv>index,shift_family,agent,risk_threshold,coverage_cells,coverage_fraction,predicted_failure_mean_assured,observed_failure_mean_assured,worst_observed_failure_assured,false_assurance_gap
0,training_data_mixing,blackbox,0.05,2,0.3333333333333333,0.013,0.071,0.12,0.021
1,training_data_mixing,blackbox,0.1,2,0.3333333333333333,0.013,0.071,0.12,-0.0289999999999999
2,training_data_mixing,blackbox,0.15,2,0.3333333333333333,0.013,0.071,0.12,-0.0789999999999999
3,training_data_mixing,blackbox,0.2,2,0.3333333333333333,0.013,0.071,0.12,-0.129
4,training_data_mixing,blackbox,0.25,4,0.6666666666666666,0.125,0.1239999999999999,0.1909999999999999,-0.126
5,training_data_mixing,blackbox,0.3,4,0.6666666666666666,0.125,0.1239999999999999,0.1909999999999999,-0.176
6,training_data_mixing,blackbox,0.35,6,1.0,0.198,0.1919999999999999,0.3309999999999999,-0.158
7,training_data_mixing,relp,0.05,2,0.3333333333333333,0.007,0.041,0.064,-0.0089999999999999
8,training_data_mixing,relp,0.1,4,0.6666666666666666,0.0474999999999999,0.057,0.084,-0.0429999999999999
9,training_data_mixing,relp,0.15,4,0.6666666666666666,0.0474999999999999,0.057,0.084,-0.0929999999999999
10,training_data_mixing,relp,0.2,4,0.6666666666666666,0.0474999999999999,0.057,0.084,-0.1429999999999999
11,training_data_mixing,relp,0.25,4,0.6666666666666666,0.0474999999999999,0.057,0.084,-0.1929999999999999
12,training_data_mixing,relp,0.3,6,1.0,0.124,0.1333333333333334,0.309,-0.1666666666666666
13,training_data_mixing,relp,0.35,6,1.0,0.124,0.1333333333333334,0.309,-0.2166666666666666
14,input_format,blackbox,0.05,0,0.0,,,,
15,input_format,blackbox,0.1,0,0.0,,,,
16,input_format,blackbox,0.15,0,0.0,,,,
17,input_format,blackbox,0.2,0,0.0,,,,
18,input_format,blackbox,0.25,0,0.0,,,,
19,input_format,blackbox,0.3,6,1.0,0.2723333333333332,0.2668333333333333,0.284,-0.0331666666666666
20,input_format,blackbox,0.35,6,1.0,0.2723333333333332,0.2668333333333333,0.284,-0.0831666666666666
21,input_format,relp,0.05,0,0.0,,,,
22,input_format,relp,0.1,0,0.0,,,,
23,input_format,relp,0.15,0,0.0,,,,
24,input_format,relp,0.2,2,0.3333333333333333,0.1929999999999999,0.2339999999999999,0.236,0.0339999999999999
25,input_format,relp,0.25,6,1.0,0.214,0.235,0.2440000000000001,-0.0149999999999999
26,input_format,relp,0.3,6,1.0,0.214,0.235,0.2440000000000001,-0.0649999999999999
27,input_format,relp,0.35,6,1.0,0.214,0.235,0.2440000000000001,-0.1149999999999999
28,all,blackbox,0.05,2,0.1666666666666666,0.013,0.071,0.12,0.021
29,all,blackbox,0.1,2,0.1666666666666666,0.013,0.071,0.12,-0.0289999999999999
30,all,blackbox,0.15,2,0.1666666666666666,0.013,0.071,0.12,-0.0789999999999999
31,all,blackbox,0.2,2,0.1666666666666666,0.013,0.071,0.12,-0.129
32,all,blackbox,0.25,4,0.3333333333333333,0.125,0.1239999999999999,0.1909999999999999,-0.126
33,all,blackbox,0.3,10,0.8333333333333334,0.2133999999999999,0.2097,0.284,-0.0902999999999999
34,all,blackbox,0.35,12,1.0,0.2351666666666666,0.2294166666666666,0.3309999999999999,-0.1205833333333333
35,all,relp,0.05,2,0.1666666666666666,0.007,0.041,0.064,-0.0089999999999999
36,all,relp,0.1,4,0.3333333333333333,0.0474999999999999,0.057,0.084,-0.0429999999999999
37,all,relp,0.15,4,0.3333333333333333,0.0474999999999999,0.057,0.084,-0.0929999999999999
38,all,relp,0.2,6,0.5,0.0959999999999999,0.116,0.236,-0.0839999999999999
39,all,relp,0.25,10,0.8333333333333334,0.1474,0.1638,0.2440000000000001,-0.0861999999999999
40,all,relp,0.3,12,1.0,0.169,0.1841666666666667,0.309,-0.1158333333333332
41,all,relp,0.35,12,1.0,0.169,0.1841666666666667,0.309,-0.1658333333333332
