cohort,auditor,h1,min,mean,max
heldout_trigger,BB,0,0.3393101188077892,0.418709990138858,0.5210606024874529
heldout_trigger,BB,1,0.3337333145962913,0.48777876008104704,0.8707744617064096
heldout_trigger,BB+WB,0,0.0098743190229052,0.030360010614942874,0.0709024888074079
heldout_trigger,BB+WB,1,0.9301841193525262,0.9565459553561166,0.9772369053501432
heldout_trigger,WB,0,0.0098189145009544,0.03051279189257579,0.0705957895389123
heldout_trigger,WB,1,0.941104835467365,0.959888665676533,0.970646888981312
heldout_weak,BB,0,0.2835751796706935,0.4141709980358334,0.5211637596892966
heldout_weak,BB,1,0.3471550650159063,0.5348607153358216,0.7921516629520208
heldout_weak,BB+WB,0,0.0154210463433854,0.0243868055118721,0.0331243969445188
heldout_weak,BB+WB,1,0.2308692786093862,0.2852646465688359,0.3728204393751616
heldout_weak,WB,0,0.0144183160456508,0.0247872695836032,0.0339198783841201
heldout_weak,WB,1,0.2512515449433375,0.268699993863838,0.2964955360056001
threshold_cal,BB,0,0.3379797344303085,0.392930169525889,0.4451092905682516
threshold_cal,BB,1,0.4169405186539091,0.7841718067825224,0.9005099199789275
threshold_cal,BB+WB,0,0.016439872942822,0.023396570793571082,0.0344121741923109
threshold_cal,BB+WB,1,0.958109403675739,0.9743779834088555,0.9840148624713982
threshold_cal,WB,0,0.0172709566903284,0.02426678550568676,0.0359334012632159
threshold_cal,WB,1,0.9583120900684264,0.9667511821026336,0.9764971035188148
