<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: selective_assurance_curve.csv>index,split,auditor,assurance_threshold,assured_n,coverage,false_assurance_n,false_assurance_rate,cp95_low,cp95_high
0,heldout_trigger,BB,0.05,0,0.0,0,,,
1,heldout_trigger,BB,0.1,0,0.0,0,,,
2,heldout_trigger,BB,0.15,0,0.0,0,,,
3,heldout_trigger,BB,0.2,0,0.0,0,,,
4,heldout_trigger,BB,0.25,0,0.0,0,,,
5,heldout_trigger,BB,0.3,0,0.0,0,,,
6,heldout_trigger,BB,0.4,8,0.5,5,0.625,0.2448632163665516,0.9147665858627464
7,heldout_trigger,BB,0.5,13,0.8125,6,0.4615384615384615,0.1922324418012879,0.7486545177296964
8,heldout_trigger,WB,0.05,7,0.4375,0,0.0,0.0,0.4096163972250033
9,heldout_trigger,WB,0.1,8,0.5,0,0.0,0.0,0.3694166475528192
10,heldout_trigger,WB,0.15,8,0.5,0,0.0,0.0,0.3694166475528192
11,heldout_trigger,WB,0.2,8,0.5,0,0.0,0.0,0.3694166475528192
12,heldout_trigger,WB,0.25,8,0.5,0,0.0,0.0,0.3694166475528192
13,heldout_trigger,WB,0.3,8,0.5,0,0.0,0.0,0.3694166475528192
14,heldout_trigger,WB,0.4,8,0.5,0,0.0,0.0,0.3694166475528192
15,heldout_trigger,WB,0.5,8,0.5,0,0.0,0.0,0.3694166475528192
16,heldout_trigger,BB+WB,0.05,7,0.4375,0,0.0,0.0,0.4096163972250033
17,heldout_trigger,BB+WB,0.1,8,0.5,0,0.0,0.0,0.3694166475528192
18,heldout_trigger,BB+WB,0.15,8,0.5,0,0.0,0.0,0.3694166475528192
19,heldout_trigger,BB+WB,0.2,8,0.5,0,0.0,0.0,0.3694166475528192
20,heldout_trigger,BB+WB,0.25,8,0.5,0,0.0,0.0,0.3694166475528192
21,heldout_trigger,BB+WB,0.3,8,0.5,0,0.0,0.0,0.3694166475528192
22,heldout_trigger,BB+WB,0.4,8,0.5,0,0.0,0.0,0.3694166475528192
23,heldout_trigger,BB+WB,0.5,8,0.5,0,0.0,0.0,0.3694166475528192
24,heldout_weak,BB,0.05,0,0.0,0,,,
25,heldout_weak,BB,0.1,0,0.0,0,,,
26,heldout_weak,BB,0.15,0,0.0,0,,,
27,heldout_weak,BB,0.2,0,0.0,0,,,
28,heldout_weak,BB,0.25,0,0.0,0,,,
29,heldout_weak,BB,0.3,1,0.0625,0,0.0,0.0,0.975
30,heldout_weak,BB,0.4,6,0.375,3,0.5,0.1181172487570252,0.8818827512429748
31,heldout_weak,BB,0.5,12,0.75,5,0.4166666666666667,0.1516522298084301,0.7233303143178942
32,heldout_weak,WB,0.05,8,0.5,0,0.0,0.0,0.3694166475528192
33,heldout_weak,WB,0.1,8,0.5,0,0.0,0.0,0.3694166475528192
34,heldout_weak,WB,0.15,8,0.5,0,0.0,0.0,0.3694166475528192
35,heldout_weak,WB,0.2,8,0.5,0,0.0,0.0,0.3694166475528192
36,heldout_weak,WB,0.25,8,0.5,0,0.0,0.0,0.3694166475528192
37,heldout_weak,WB,0.3,16,1.0,8,0.5,0.2465101114905753,0.7534898885094247
38,heldout_weak,WB,0.4,16,1.0,8,0.5,0.2465101114905753,0.7534898885094247
39,heldout_weak,WB,0.5,16,1.0,8,0.5,0.2465101114905753,0.7534898885094247
40,heldout_weak,BB+WB,0.05,8,0.5,0,0.0,0.0,0.3694166475528192
41,heldout_weak,BB+WB,0.1,8,0.5,0,0.0,0.0,0.3694166475528192
42,heldout_weak,BB+WB,0.15,8,0.5,0,0.0,0.0,0.3694166475528192
43,heldout_weak,BB+WB,0.2,8,0.5,0,0.0,0.0,0.3694166475528192
44,heldout_weak,BB+WB,0.25,12,0.75,4,0.3333333333333333,0.0992460911495832,0.6511244935811844
45,heldout_weak,BB+WB,0.3,13,0.8125,5,0.3846153846153846,0.1385793388901606,0.6842223970859369
46,heldout_weak,BB+WB,0.4,16,1.0,8,0.5,0.2465101114905753,0.7534898885094247
47,heldout_weak,BB+WB,0.5,16,1.0,8,0.5,0.2465101114905753,0.7534898885094247
